PROJECT_ID,COMMIT_HASH,LINES_ADDED,LINES_REMOVED,num_commit,lines_added_last_commits,lines_removed_last_commits
org.apache:archiva,a37878dc223d93b000961aa6e71dc4a6fdc6b5f6,230,189,26500,1530,178
org.apache:archiva,c5839cb7f11a01b54db926d5f1159db6ff28bf69,1251,185,26774,1718,348
org.apache:archiva,f63959e3aa1694a987c852086df73d205b3ceddc,66,86,27665,2960,525
org.apache:archiva,31e93bb1c9b6bde9403ddb5c9a541fc9608b7169,86,55,27728,1853,498
org.apache:archiva,3d61eecdc490f6a75784502d289e0989dc36d53f,298,79,28140,1641,523
org.apache:archiva,76fd577ce2d35d50d98c9f4e3903c898c01920a0,154,3309,28175,1931,594
org.apache:archiva,fe446f4081657339fe8f3e21fa4c6c27dff716ea,98,72,28284,1855,3714
org.apache:archiva,50193ed8c59a99fe64fe814fc4678a3c0e84b503,1220,54,28677,702,3601
org.apache:archiva,b1d8c69f44948823d5539b41a87493aa19f9f40a,12,12,28888,1856,3569
org.apache:archiva,d43baefa76e3f93f32644490a5a3f109069a963e,66,57,30659,1782,3526
org.apache:archiva,8b132cd183a92d3aab880fb37bbe4e649f4e91a1,863,429,30850,1550,3504
org.apache:archiva,c5cb5db5c8fd361b6c777471e9345a510fa9c48a,403,76,30866,2259,624
org.apache:archiva,8891e9fdd249872865e072fca2af18efb5abf14d,244,485,30990,2564,628
org.apache:archiva,4ada4714490275606da34bc25e6816514f2c997a,292,37,31052,1588,1059
org.apache:archiva,b722a82aec541b39a123ef592fbdec23cd149f47,386,101,31157,1868,1084
org.apache:archiva,1dad23aaf3d3a6fa10876a2363169b76b52608b9,163,117,31449,2188,1128
org.apache:archiva,7b50ea96e2a4f963e922abc2b662053dda1e741e,117,22,31717,1488,816
org.apache:archiva,0dc2c29c92ed68ccf1e7a266166a02908d06c699,734,659,31878,1202,762
org.apache:archiva,5a1a84ca3023078795cc1ffffdc86cfc6053e717,307,324,32265,1692,936
org.apache:archiva,745243b347400e3db9c94882d676b654f3af4f4c,48,152,32283,1707,1223
org.apache:archiva,2262565505e91e36bb1fab985d46d9f3d878fa0d,1277,267,32508,1369,1274
org.apache:archiva,f66adc650bf78a7538741fc93de52dbaf83b4227,530,170,33080,2483,1424
org.apache:archiva,fa2a45d627d1161b7a710efb511d3f57512aa7ae,48,44,33082,2896,1572
org.apache:archiva,584031f68fde34243805457b4e2b63570ba3df7e,569,538,33345,2210,957
org.apache:archiva,4e7c4eff6ce811dee0461f1d1734e01c4ab1e19a,3130,2694,33600,2472,1171
org.apache:archiva,7edc5c26dc86412261ddc26a3f74b6cb2b92678e,1946,565,33920,5554,3713
org.apache:archiva,124fe26ea95fa216e45c53b7bc5cd3f7b4796999,440,20,34500,6223,4011
org.apache:archiva,9d345b6c945cbffa3ed35f3e0420ae9c661dcf6d,996,43,35400,6133,3861
org.apache:archiva,54eed9ca99cdabd7eb44aafd19ab0cffd067cd53,12,16,36100,7081,3860
org.apache:archiva,72a5da6643d4e352d1ab772b9d87cfe40b1dd401,11,11,36190,6524,3338
org.apache:archiva,4f42feb44f17daa9c8cc4a73b3858c886cfc0cad,117,72,36280,3405,655
org.apache:archiva,c79221c9974357e953e8f670274eba8377b18b96,220,613,36556,1576,162
org.apache:archiva,ae7f816a4fe4cf8c177c7b4f805a67703af21d81,1049,6,37210,1356,755
org.apache:archiva,5378f9b2f53bae243d2cd11933baa7dfd27df4bd,412,424,37298,1409,718
org.apache:archiva,01350dc3033f12befc2cda37f7941d72dc5fc603,1425,980,37466,1809,1126
org.apache:archiva,479f10cb7fc099f0faa0c197e5426bfd3777b5e9,385,28,38208,3223,2095
org.apache:archiva,2ae3268ff900a8b649f8cc46fe6a23302978cacc,1202,276,39587,3491,2051
org.apache:archiva,58c30c851dcb4fd9d9e544986d8466d4756cfa8b,112,19,39798,4473,1714
org.apache:archiva,e7664898d68e9230f12a111cc3e18bbc6a3374bf,1225,403,39817,3536,1727
org.apache:archiva,32f1b4afd229747be65b14fe10f0194b081159fc,1588,358,40095,4349,1706
org.apache:archiva,e4a54528f3558b895d1614ed68fccc85035eaa55,824,63,40551,4512,1084
org.apache:archiva,d35e740ca9af5352e77788e3929db365c2d1a051,389,22,40586,4951,1119
org.apache:archiva,1f633d5244e2cf1cb7721b666758fbfec8b3625e,356,906,40614,4138,865
org.apache:archiva,3d29a9d3f408a018c7dde25ab2a2edf766c370c4,538,134,40821,4382,1752
org.apache:archiva,30ecf02f4180000c9d27c7dd02807f7eb8a24455,566,212,41344,3695,1483
org.apache:archiva,c7607a63e569a4bbe271fdcf8744d5ba909652a5,154,35,41940,2673,1337
org.apache:archiva,7d343a62a79f78d6a1555c01f93892a2874273ee,215,66,42020,2003,1309
org.apache:archiva,f6ec5a7e86b3d5b9d0b40020328d3060aa252b84,270,49,42354,1829,1353
org.apache:archiva,2b05e40f8be1318e871aea67fa44696a6b86bf5f,439,336,42704,1743,496
org.apache:archiva,64bf00a0317c3c8a06b33fe0f4a1230c6de3e06e,803,147,43812,1644,698
org.apache:archiva,46fa8834873fa1aed03fdfc499508203419e033e,142,111,44464,1881,633
org.apache:archiva,c671224fbb399b1cc027c756d58eba8856e6c794,976,166,44928,1869,709
org.apache:archiva,9e2d664ab31cbf39bf4409b60da8067ce706ffba,2700,1503,45357,2630,809
org.apache:archiva,b2a4a02c00b70a0265251bd57fc772bebafba434,992,431,45360,5060,2263
org.apache:archiva,53d4ecac05c0ae0acb5b8986a9fc46f34d7d23ef,267,110,45656,5613,2358
org.apache:archiva,22961f8dc45109662e5d10bb35df60ee79683eda,628,165,45668,5077,2321
org.apache:archiva,cba6c6685880d26a39e27df988ad544f77b69f0d,182,200,45792,5563,2375
org.apache:archiva,6b9947ac10251d6d45497d9300ab7385e5cf68f8,155,13,46288,4769,2409
org.apache:archiva,0887d40cd89f7bf99a8be6ff365cd8a2d12b8ceb,286,143,46475,2224,919
org.apache:archiva,e26eac7e06325ef514a70bee9646a25fe2d205c9,502,236,46560,1518,631
org.apache:archiva,e2ee507bff5dbbe3406416f407ac087590186c5e,179,122,46932,1753,757
